NAME	DESCRIPTION	START_NODES	END_NODES	JAVADOC_URL
Frameshift	Entry point for frameshift sequence caution node(Relationship coming from reference node)	-	SequenceCaution	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/sc/FrameshiftRel.html
MiscellaneousDiscrepancy	Entry point for miscellaneous discrepancy sequence caution node(Relationship coming from reference node)	-	SequenceCaution	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/sc/MiscellaneousDiscrepancyRel.html
Uniref100Member	Points to the members of the Uniref100 cluster represented by the protein (in the case where the protein is a representant)	Protein,Isoform	Protein,Isoform	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/uniref/UniRef100MemberRel.html
Uniref90Member	Points to the members of the Uniref90 cluster represented by the protein (in the case where the protein is a representant)	Protein,Isoform	Protein,Isoform	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/uniref/UniRef90MemberRel.html
Uniref50Member	Points to the members of the Uniref50 cluster represented by the protein (in the case where the protein is a representant)	Protein,Isoform	Protein,Isoform	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/uniref/UniRef50MemberRel.html
InstituteCountry	Rel. leading to the country where a institute is	Institute	Country	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/InstituteCountryRel.html
IsoformEvenGenerator	Isoform event generator	Isoform	AlternativeProduct	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/IsoformEventGeneratorRel.html
MainDataset	Entry point for the main datasets: Swissprot, Trembl...(Relationship coming from reference node)	-	Dataset	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/MainDatasetRel.html
MainTaxon	Entry point for the root taxon of Uniprot taxonomy (Relationship coming from reference node)	-	Taxon	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/sc/ErroneousInitiationRel.html
SubcellularLocationParent	Rel. leading to the subcellular location child of a subcellular location	SubcellularLocation	SubcellularLocation	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/SubcellularLocationParentRel.html
TaxonParent	Rel. leading to the child of the current (Uniprot) Taxon node	Taxon	Taxon	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/TaxonParentRel.html
IsoformEventGenerator	Alternative products generated by an isoform	Isoform	AlternativeProduct	http://www.bio4j.com/docs/bio4jmodel/apidocs/com/era7/bioinfo/bio4jmodel/relationships/IsoformEventGeneratorRel.html
